{'width': 16, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.7748076915740967, 'runtime': 77.24940061569214}
{'width': 16, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.7718750238418579, 'runtime': 108.13189911842346}
{'width': 16, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.7395192384719849, 'runtime': 85.22140884399414}
{'width': 16, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.7363942265510559, 'runtime': 112.1213014125824}
{'width': 16, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.7355769276618958, 'runtime': 104.65574955940247}
{'width': 16, 'lr': 0.01, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.7618269324302673, 'runtime': 89.99203896522522}
{'width': 16, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.707355797290802, 'runtime': 90.68015050888062}
{'width': 16, 'lr': 0.01, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.7049999833106995, 'runtime': 104.74717235565186}
{'width': 16, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.7207211256027222, 'runtime': 83.24876546859741}
{'width': 16, 'lr': 0.005, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.7231730818748474, 'runtime': 103.75342273712158}
{'width': 16, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.6846634745597839, 'runtime': 85.01284408569336}
{'width': 16, 'lr': 0.005, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.6889904141426086, 'runtime': 107.76931500434875}
{'width': 16, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.6350961327552795, 'runtime': 77.0614082813263}
{'width': 16, 'lr': 0.001, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.6489903926849365, 'runtime': 102.41679191589355}
{'width': 16, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.6016346216201782, 'runtime': 84.08585500717163}
{'width': 16, 'lr': 0.001, 'dropout': 0.2, 'weight_decay': 0.0001, 'val_acc': 0.6210095882415771, 'runtime': 106.64559984207153}
{'width': 32, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0, 'val_acc': 0.8460577130317688, 'runtime': 87.95853447914124}
{'width': 32, 'lr': 0.1, 'dropout': 0.0, 'weight_decay': 0.0001, 'val_acc': 0.8450961709022522, 'runtime': 105.83311104774475}
{'width': 32, 'lr': 0.1, 'dropout': 0.2, 'weight_decay': 0.0, 'val_acc': 0.8148557543754578, 'runtime': 92.53912091255188}
